Aplicação,Métrica,Algoritmo,Erro médio absoluto,Erro médio quadrado,Coeficiente de determinação (R²),Tempo de execução(em segundos),API
at1-sae-gw.SpringCloudGateway - (srs-atl-prd-a1-pks),LATENCY,AutoArima,"3.023,554274","10.949.926,782049","-4,953262","614,509015",API 3
atl-ce-routing.scg-router-app_,LATENCY,Redes Neurais Recorrentes,"4.920,595581","115.915.795,225753","0,010005","330,589286",API 4
atl-ce-routing.scg-router-app_,LATENCY,Redes Neurais Convolucionais,"915,792292","7.843.416,381632","-0,086217","41,814604",API 4
atl-ce-routing.scg-router-app_,LATENCY,XGBoost,"44.745,330771","5.376.840.560,563530","-0,554152","1,198833",API 4
atl-ce-routing.scg-router-app_,LATENCY,AutoArima,"1.555,264019","8.194.279,427570","0,000000","156,972844",API 4
Azure DevOps Server (tfs)_,LATENCY,Redes Neurais Recorrentes,"207,793520","79.971,720189","0,820574","208,423023",API 5
Azure DevOps Server (tfs)_,LATENCY,Redes Neurais Convolucionais,"593,998084","521.730,666605","-0,022799","82,968991",API 5
Azure DevOps Server (tfs)_,LATENCY,XGBoost,"857,746064","1.039.380,280072","-2,697148","3,601625",API 5
Azure DevOps Server (tfs)_,LATENCY,AutoArima,"2.013,814832","4.779.831,279241","-16,313831","308,734898",API 5
BATCH Dell.Pricing.Discount.WebApi_,LATENCY,Redes Neurais Recorrentes,"0,002289","8,293817","-4,740699","390,497838",API 6
BATCH Dell.Pricing.Discount.WebApi_,LATENCY,Redes Neurais Convolucionais,"0,002510","0,000009","-0,273836","65,222175",API 6
BATCH Dell.Pricing.Discount.WebApi_,LATENCY,XGBoost,"0,002597","0,000010","-13,205659","1,436060",API 6
BATCH Dell.Pricing.Discount.WebApi_,LATENCY,AutoArima,"0,002897","1,124961","-7,318220","596,354503",API 6
BATCH EM DCP.PricingService_,LATENCY,Redes Neurais Recorrentes,"29,306915","1.347,183012","-2,675205","330,499770",API 7
BATCH EM DCP.PricingService_,LATENCY,Redes Neurais Convolucionais,"29,547700","1.479,009157","-0,109093","82,910373",API 7
BATCH EM DCP.PricingService_,LATENCY,XGBoost,"72,446303","8.496,944499","-1,550728","1,567063",API 7
BATCH EM DCP.PricingService_,LATENCY,AutoArima,"41,459213","2.914,095419","-1,938535","152,931477",API 7
dell.com_shop,LATENCY,Redes Neurais Recorrentes,"13,173681","479,775382","-25,239681","393,149384",API 8
dell.com_shop,LATENCY,Redes Neurais Convolucionais,"14,644714","472,421936","-0,036384","82,882957",API 8
dell.com_shop,LATENCY,XGBoost,"17,461673","592,063416","-5,912456","-5,912456",API 8
dell.com_shop,LATENCY,AutoArima,"16,747445","615,708743","-4,235867","191,894922",API 8
BATCH SnpServiceAPI_,LATENCY,Redes Neurais Recorrentes,"104,063763","93.174,794171","-5,415288","36,271228",API 9
BATCH SnpServiceAPI_,LATENCY,Redes Neurais Convolucionais,"82,520877","90.287,204335","-0,034813","82,619839",API 9
BATCH SnpServiceAPI_,LATENCY,XGBoost,"89,020132","87.332,326375","-76,820311","5,867656",API 9
BATCH SnpServiceAPI_,LATENCY,AutoArima,"84,110650","86.451,708923","-137,270723","120,312551",API 9
_.dellsvc,MEMORY,Redes Neurais Recorrentes,"0,028326","0,006006","0,973360","330,197494",API 1
_.dellsvc,MEMORY,Redes Neurais Convolucionais,"0,486382","0,267833","-0,104002","62,851558",API 1
_.dellsvc,MEMORY,XGBoost,"0,436492","0,243854","0,000000","1,582029",API 1
_.dellsvc,MEMORY,AutoArima,"0,443352","0,268190","-15,627278","434,905193",API 1
at1-script-gw.script-gw-_,MEMORY,Redes Neurais Recorrentes,"0,067124","0,007338","0,942173","309,709597",API 2
at1-script-gw.script-gw-_,MEMORY,Redes Neurais Convolucionais,"0,566476","0,471535","-2,156677","82,677912",API 2
